EbayID,Price,PricePercent,StartingBidPercent,SellerName,SellerClosePercent,Category,PersonID,StartingBid,AvgPrice,EndDay,QuantitySold,HitCount,AuctionAvgHitCount,Authenticated,ItemAuctionSellPercent,SellerSaleAvgPriceRatio,SellerAvg,SellerItemAvg,AuctionHitCountAvgRatio,BestOffer,ReturnsAccepted,IsHOF,BidCount,AuctionCount,AuctionSaleCount,SellerAuctionCount,SellerAuctionSaleCount,PriceBuckets,AuctionMedianPrice,IsInMedianRatio10Percent,IsInMedianRatio20Percent,IsInMedianRatio25Percent
310660463424,7.99,0.9038,0.9038,det.tigss,0.1525423728813559322,73396,303,7.99,8.84,Friday,1,4,3,0,0.6000000000000000000,0.52,6,12,1.3333333333333333333,0,0,0,1,5,3,59,9,10,7.99,1,1,1
300896439219,0.99,1.00,1.00,sprad22,0.1071428571428571428,53,343,0.99,0.99,Friday,1,11,11,0,1.0000000000000000000,0.52,2,4,1.0000000000000000000,0,0,0,1,1,1,616,66,5,0.99,1,1,1
190830497666,14.99,0.2814,0.2814,phillyguy856,0.3809523809523809523,27260,412,14.99,53.2615,Thursday,1,25,102,0,0.4117647058823529411,0.45,8,18,0.2450980392156862745,0,0,0,1,51,21,84,32,15,26.00,0,0,0
310659262203,10.50,0.507,0.2892,tmt51,0.3333333333333333333,27265,412,5.99,20.7066,Friday,1,67,63,0,0.3214285714285714285,1.27,43,46,1.0634920634920634920,0,1,0,2,28,9,204,68,15,15.25,0,0,0
221218670032,43.88,0.897,0.0202,rochestersports,0.9957264957264957264,27277,429,0.99,48.9142,Wednesday,1,32,84,0,0.9047619047619047619,0.88,78,89,0.3809523809523809523,0,1,0,10,21,19,1638,1631,45,45.88,1,1,1
221222565340,40.78,0.8337,0.0202,rochestersports,0.9957264957264957264,27277,429,0.99,48.9142,Tuesday,1,41,84,0,0.9047619047619047619,0.88,78,89,0.4880952380952380952,0,1,0,13,21,19,1638,1631,45,45.88,0,1,1
321114217278,55.00,1.1244,0.0202,rochestersports,0.9957264957264957264,27277,429,0.99,48.9142,Friday,1,28,84,0,0.9047619047619047619,0.88,78,89,0.3333333333333333333,0,1,0,19,21,19,1638,1631,55,45.88,0,1,1
221218740299,74.85,1.5302,0.0202,rochestersports,0.9957264957264957264,27277,429,0.99,48.9142,Thursday,1,43,84,0,0.9047619047619047619,0.88,78,89,0.5119047619047619047,0,1,0,23,21,19,1638,1631,75,45.88,0,0,0
321118899091,51.03,1.0432,0.0202,rochestersports,0.9957264957264957264,27277,429,0.99,48.9142,Monday,1,39,84,0,0.9047619047619047619,0.88,78,89,0.4642857142857142857,0,1,0,22,21,19,1638,1631,55,45.88,0,1,1
271200466444,90.88,2.387,0.026,cantonandcooper,0.9058458354888773926,53,495,0.99,38.0719,Sunday,1,77,134,1,0.4347826086956521739,1.13,62,59,0.5746268656716417910,0,1,0,16,46,20,1933,1751,95,33.11,0,0,0
360644134631,57.50,4.4003,0.0757,probstein123,0.9796725014116318464,73396,495,0.99,13.0672,Thursday,1,210,42,1,0.3636363636363636363,1.13,38,31,5.0000000000000000000,0,1,0,11,330,120,1771,1735,60,5.99,0,0,0
171030118292,13.25,0.5629,0.042,raidersblazers4life,0.8461538461538461538,27265,495,0.99,23.535,Thursday,1,31,67,1,0.2487562189054726368,0.62,42,68,0.4626865671641791044,0,0,0,7,201,50,26,22,15,11.38,0,1,1
251267854250,19.99,0.4586,0.4586,ccsmusic321,0.2203389830508474576,27260,495,19.99,43.5862,Sunday,1,17,85,0,0.3569023569023569023,1.33,47,54,0.2000000000000000000,0,1,0,1,297,106,118,26,20,30.495,0,0,0
281100972371,0.99,1.00,1.00,american_card_pickers,0.0536240424278137890,73396,755,0.99,0.99,Monday,1,4,20,0,0.0810810810810810810,0.26,1,5,0.2000000000000000000,0,1,0,1,37,3,1697,91,5,0.99,1,1,1
221221730727,49.00,1.3464,1.3464,snappyauctions14,0.3333333333333333333,53,936,49.00,36.3909,Tuesday,1,10,49,0,0.3846153846153846153,1.14,46,40,0.2040816326530612244,0,1,1,1,52,20,12,4,50,21.50,0,0,0
380632460191,1.04,1.5294,1.4558,peacock7834,0.1811479726171669299,73396,1279,0.99,0.68,Monday,1,5,48,0,0.0789473684210526315,0.41,1,3,0.1041666666666666666,0,0,0,2,38,3,3798,688,5,0.99,1,1,1
